Wall time,Step,Value
1733509855.5828424,10000,-1453055.5
1733509933.994575,20000,-677654.625
1733510016.549521,30000,-443268.75
1733510126.171158,40000,-334940.375
1733510196.7569265,50000,-287468.625
1733510283.9992,60000,-238448.625
1733510363.6087093,70000,-206445.203125
1733510436.305925,80000,-184540.5
1733510512.4394815,90000,-165865.640625
1733510583.8004339,100000,-154610.703125
1733510656.274766,110000,-140264.0625
1733510725.9944215,120000,-128793.6953125
1733510797.3917503,130000,-118878.9140625
1733510866.135571,140000,-113133.7109375
1733510936.6119344,150000,-105746.2890625
1733511010.80477,160000,-99320.6796875
1733511077.6127708,170000,-93588.890625
1733511146.907194,180000,-88485.203125
1733511216.0447395,190000,-85436.59375
1733511282.825555,200000,-81096.5234375
1733511352.3000996,210000,-77319.359375
1733511420.8273697,220000,-74004.625
1733511486.898559,230000,-71864.7265625
1733511555.8344214,240000,-68995.1640625
1733511623.8037064,250000,-66278.84375
1733511690.6561477,260000,-63743.9296875
1733511761.0451765,270000,-61521.02734375
1733511828.1472075,280000,-60132.08984375
1733511893.631402,290000,-58123.7734375
1733511958.7575443,300000,-56243.21875
1733512027.4525387,310000,-54624.0703125
1733512095.814535,320000,-53916.203125
1733512163.7482047,330000,-52461.98828125
1733512231.314303,340000,-50991.63671875
1733512304.6250718,350000,-50375.453125
1733512373.598034,360000,-49075.03125
1733512440.9976964,370000,-20136.369140625
1733512509.3147418,380000,-15511.3798828125
1733512578.1616364,390000,-14163.6796875
1733512643.7077239,400000,-12905.8701171875
1733512710.9051754,410000,-12575.099609375
1733512779.9847186,420000,-12002.6298828125
1733512847.5975797,430000,-11087.6904296875
1733512915.0519488,440000,-10159.01953125
1733512983.3580153,450000,-9468.23046875
1733513053.0078385,460000,-9390.5
1733513123.204672,470000,-9361.5703125
1733513193.0812292,480000,-9293.099609375
1733513261.7898011,490000,-9216.66015625
1733513329.5631325,500000,-9224.3095703125
1733513395.875559,510000,-9012.0
1733513464.144662,520000,-8876.1904296875
1733513529.960639,530000,-8747.8701171875
1733513598.3082917,540000,-8844.419921875
1733513666.9681475,550000,-8942.3603515625
1733513734.7544389,560000,-9154.509765625
1733513801.8036075,570000,-9117.5498046875
1733513869.4036167,580000,-8957.7001953125
1733513935.465034,590000,-8930.2197265625
1733514000.7286718,600000,-8792.9404296875
1733514067.7500803,610000,-8770.4599609375
1733514134.076413,620000,-8822.2001953125
1733514202.1420078,630000,-8776.400390625
1733514270.4131835,640000,-9031.8603515625
1733514337.3585374,650000,-9042.7802734375
1733514404.9690802,660000,-9101.1904296875
1733514474.2048578,670000,-8994.6298828125
1733514545.166862,680000,-8778.580078125
1733514617.2837393,690000,-8995.66015625
1733514687.0365016,700000,-9021.0498046875
1733514756.942138,710000,-8331.7900390625
1733514824.621797,720000,-8297.7802734375
1733514892.2919717,730000,-8303.4697265625
1733514958.6295304,740000,-8281.23046875
1733515025.556464,750000,-8246.0302734375
1733515091.205436,760000,-8255.8896484375
1733515158.0649943,770000,-8250.1201171875
1733515225.5100179,780000,-8263.5302734375
1733515292.650219,790000,-8287.8203125
1733515360.274661,800000,-8028.330078125
1733515426.7737372,810000,-8029.8798828125
1733515493.0124133,820000,-7906.740234375
1733515563.0055246,830000,-7806.41015625
1733515631.609019,840000,-7694.58984375
1733515698.6277514,850000,-7626.89990234375
1733515765.1902747,860000,-7534.02001953125
1733515832.6673472,870000,-7611.330078125
1733515899.6237469,880000,-7559.10009765625
1733515967.134123,890000,-7571.10986328125
1733516038.3974788,900000,-7548.259765625
1733516106.58582,910000,-7455.31982421875
1733516174.5370176,920000,-7225.9501953125
1733516243.589088,930000,-7269.7099609375
1733516311.191109,940000,-7310.7099609375
1733516378.9998405,950000,-7313.18017578125
1733516448.5376358,960000,-7386.4599609375
1733516516.9104407,970000,-7416.259765625
1733516586.4132464,980000,-7399.64990234375
1733516652.7396698,990000,-7358.0498046875
1733516719.486241,1000000,-7046.75
