agent,desiredSpeed,friction,speed,waitingTime,emergencyBraking,collisions
scratch_s80_f0.5,27.78,0.6175464594913923,20.56,0.5908505154639175,99,18
scratch_s80_f0.5,22.22,0.4943191876871565,15.84,1.2553459119496857,49,11
scratch_s80_f0.5,27.78,0.5999378018994782,19.29,1.0508684863523574,83,15
scratch_s80_f0.5,13.89,0.5443155751385342,11.68,1.116421568627451,37,25
scratch_s80_f0.5,8.33,0.3877953786635727,6.9,1.8036437246963564,18,15
scratch_s80_f0.5,8.33,0.7689435974371065,7.39,1.0115681233933165,2,24
scratch_s80_f0.5,8.33,0.4916211544618209,7.21,1.4072681704260652,17,29
scratch_s80_f0.5,27.78,0.9628146167023558,22.46,0.6017532874139011,73,14
scratch_s80_f0.5,22.22,0.7946096125160683,18.72,0.6007462686567164,74,17
scratch_s80_f0.5,27.78,0.6567470838773464,20.43,0.5266089108910891,86,15
scratch_s80_f0.5,13.89,0.4014606885641968,11.37,1.4235668789808915,61,30
scratch_s80_f0.5,27.78,0.5893073284853236,19.34,0.8452900810979413,75,10
scratch_s80_f0.5,13.89,0.7213695510654513,12.45,0.4664131812420786,20,19
scratch_s80_f0.5,22.22,0.7260192944179454,18.39,0.539546290619252,70,14
scratch_s80_f0.5,27.78,0.6127461124812306,19.79,0.75125,83,16
scratch_s80_f0.5,8.33,0.244609119425269,5.4,5.382845188284519,608,37
scratch_s80_f0.5,8.33,0.417177831817568,6.91,2.0088832487309647,21,26
scratch_s80_f0.5,13.89,0.373039703204686,10.95,1.804702808621816,74,26
scratch_s80_f0.5,27.78,0.7032732404410221,20.97,0.527760449157829,85,18
scratch_s80_f0.5,13.89,1.0,12.46,0.6275380710659898,4,11
scratch_s80_f0.5,22.22,0.5051714331340159,16.11,1.168987341772152,44,18
scratch_s80_f0.5,8.33,0.2308910200391001,5.22,5.83750846310088,659,49
scratch_s80_f0.5,22.22,0.2868982576957289,8.52,7.310254735467015,586,25
scratch_s80_f0.5,22.22,0.8524733347647726,18.91,0.5091023226616447,60,16
scratch_s80_f0.5,13.89,0.4907513478058774,11.87,0.9717336683417084,30,26
scratch_s80_f0.5,13.89,0.4412000284833339,11.65,1.1769968051118211,41,27
scratch_s80_f0.5,8.33,0.7450330403435103,7.37,0.8997378768020969,1,20
scratch_s80_f0.5,22.22,1.0,19.06,0.5427872860635696,49,19
scratch_s80_f0.5,13.89,0.3951754058066447,10.84,1.784046692607004,69,18
scratch_s80_f0.5,8.33,0.3781271725613605,6.73,2.5295663600525624,32,24
scratch_s80_f0.5,27.78,0.9023004406929156,22.25,0.5874125874125874,73,11
scratch_s80_f0.5,22.22,0.6565116862910196,17.6,0.6517473942366646,75,12
scratch_s80_f0.5,22.22,0.2959836197066571,10.09,5.283792871553463,594,21
scratch_s80_f0.5,22.22,1.0,19.24,0.4458518049398353,46,17
scratch_s80_f0.5,22.22,0.7779423568521261,18.35,0.6976600985221675,76,12
scratch_s80_f0.5,22.22,0.6246865394416026,17.45,0.83875,66,11
scratch_s80_f0.5,13.89,0.9856592476747992,12.44,0.7286585365853658,2,18
scratch_s80_f0.5,22.22,0.7428054904993776,18.52,0.6475247524752475,61,10
scratch_s80_f0.5,27.78,0.8824349653216819,22.24,0.4984930681133213,73,17
scratch_s80_f0.5,22.22,0.7816695307571263,18.73,0.6234015345268542,68,13
scratch_s80_f0.5,27.78,1.0,22.97,0.4310567010309278,69,14
scratch_s80_f0.5,27.78,0.353705784546325,11.33,5.146573604060913,121,25
scratch_s80_f0.5,27.78,0.2892167812681375,9.06,7.184868421052632,527,41
scratch_s80_f0.5,27.78,1.0,22.77,0.5238970588235294,67,10
scratch_s80_f0.5,13.89,0.918346290439899,12.62,0.4952324195470798,5,24
scratch_s80_f0.5,27.78,0.8276694246402163,21.31,0.716735659373152,74,13
scratch_s80_f0.5,8.33,0.6532423457651007,7.26,1.1984877126654063,6,23
scratch_s80_f0.5,8.33,0.2981330195641835,5.55,5.879098360655738,395,44
scratch_s80_f0.5,8.33,1.0,7.38,1.2737110120942077,0,22
scratch_s80_f0.5,27.78,0.9168856111748696,21.97,0.8280175109443402,59,14
scratch_s80_f0.5,8.33,1.0,7.42,1.152656355077337,0,18
scratch_s80_f0.5,8.33,1.0,7.27,1.5247706422018348,0,17
scratch_s80_f0.5,8.33,0.0437439803356288,2.18,10.428235294117648,1034,29
scratch_s80_f0.5,13.89,0.416266735518121,10.78,2.0305486284289276,36,14
scratch_s80_f0.5,22.22,0.1758173736110713,6.79,5.943548387096774,832,39
scratch_s80_f0.5,13.89,0.2628164494618852,7.58,6.805256064690027,710,29
scratch_s80_f0.5,22.22,0.4709598861735706,14.92,1.6729944886711574,45,20
scratch_s80_f0.5,8.33,0.9984546833613278,7.33,1.4644951140065146,0,15
