Wall time,Step,Value
1734204920.6921866,10000,-22299.0
1734205011.2279828,20000,-18346.19921875
1734205102.1401963,30000,-17068.125
1734205190.3312354,40000,-15459.36328125
1734205279.100552,50000,-14972.6923828125
1734205366.0449452,60000,-14636.6875
1734205453.4143329,70000,-13554.052734375
1734205539.921949,80000,-12862.13671875
1734205627.8613262,90000,-12453.3203125
1734205714.6255124,100000,-12193.8515625
1734205802.1389267,110000,-11846.3662109375
1734205887.9690065,120000,-11580.36328125
1734205974.017508,130000,-11228.861328125
1734206062.6319373,140000,-11113.9208984375
1734206150.0317352,150000,-10951.4638671875
1734206236.186825,160000,-10791.8408203125
1734206323.611947,170000,-10535.19140625
1734206410.8562698,180000,-10376.1796875
1734206499.3840952,190000,-10319.595703125
1734206587.1217492,200000,-10505.58203125
1734206673.0146213,210000,-10552.0859375
1734206760.9137378,220000,-10522.9345703125
1734206846.9833114,230000,-10409.5400390625
1734206933.4631767,240000,-10286.0
1734207020.511615,250000,-10139.130859375
1734207108.0479467,260000,-10050.27734375
1734207196.1181242,270000,-9990.8798828125
1734207282.5715566,280000,-9920.0390625
1734207371.9906416,290000,-9880.0
1734207460.1056087,300000,-9795.7353515625
1734207547.330709,310000,-9740.5927734375
1734207631.715195,320000,-9664.5908203125
1734207718.0529613,330000,-9613.59375
1734207806.4390523,340000,-9607.734375
1734207894.1560822,350000,-9560.14453125
1734207978.8602386,360000,-9462.2099609375
1734208065.6972637,370000,-9186.2099609375
1734208151.6443884,380000,-8976.580078125
1734208239.540786,390000,-8722.6396484375
1734208324.6416235,400000,-8555.9501953125
1734208409.53576,410000,-8409.0400390625
1734208497.1822052,420000,-8247.259765625
1734208590.1991198,430000,-8392.0703125
1734208677.6175253,440000,-8365.0
1734208765.4598572,450000,-8299.259765625
1734208851.6471808,460000,-8231.0
1734208936.2319407,470000,-8307.650390625
1734209021.7597291,480000,-8299.5
1734209108.600923,490000,-8300.900390625
1734209193.9147794,500000,-8265.669921875
1734209279.211527,510000,-8156.06982421875
1734209366.1967273,520000,-8096.08984375
1734209455.3049285,530000,-8160.41015625
1734209544.651568,540000,-8253.33984375
1734209632.0337377,550000,-8223.91015625
1734209720.9291818,560000,-8079.39990234375
1734209807.3208838,570000,-8024.39013671875
1734209896.2396884,580000,-8000.0
1734209983.1706593,590000,-8089.41015625
1734210069.8760917,600000,-8138.91015625
1734210158.5414376,610000,-8204.0595703125
1734210243.9351196,620000,-8198.23046875
1734210331.7157683,630000,-8176.3798828125
1734210421.380901,640000,-8233.240234375
1734210513.8236372,650000,-8250.91015625
1734210599.804332,660000,-8296.6796875
1734210688.0555658,670000,-8369.8095703125
1734210773.9816194,680000,-8386.1201171875
1734210861.2482264,690000,-8343.91015625
1734210947.1393635,700000,-8235.7001953125
1734211032.8864052,710000,-8268.0595703125
1734211119.0653205,720000,-8342.419921875
1734211206.7424927,730000,-8320.51953125
1734211291.1777234,740000,-8266.3095703125
1734211376.962834,750000,-8220.8798828125
1734211463.4816244,760000,-8256.16015625
1734211548.1304083,770000,-8297.91015625
1734211635.382458,780000,-8259.7900390625
1734211722.1695473,790000,-8071.58984375
1734211808.2086236,800000,-8010.27978515625
1734211896.3043327,810000,-8022.7900390625
1734211985.0741677,820000,-8136.47021484375
1734212073.411687,830000,-8054.52978515625
1734212160.947434,840000,-7964.60986328125
1734212248.4788144,850000,-7957.9501953125
1734212334.3431125,860000,-8079.919921875
1734212421.2988362,870000,-8111.759765625
1734212508.1663535,880000,-8379.7099609375
1734212593.9908211,890000,-8996.6396484375
1734212680.8729725,900000,-9096.0302734375
1734212766.4026194,910000,-9104.599609375
1734212853.934867,920000,-9108.48046875
1734212940.6680079,930000,-9014.4697265625
1734213028.1334786,940000,-8940.6201171875
1734213114.9998577,950000,-8852.3203125
1734213201.6400816,960000,-8747.7900390625
1734213288.1932647,970000,-8691.8798828125
1734213374.9518712,980000,-8658.1396484375
1734213460.44113,990000,-8596.9697265625
1734213547.040302,1000000,-8513.2900390625
