Wall time,Step,Value
1734206589.0629382,10000,-18113.5
1734206646.3404071,20000,-15952.0
1734206700.5600991,30000,-16247.875
1734206755.244062,40000,-15291.63671875
1734206810.2075698,50000,-14526.384765625
1734206864.7766101,60000,-13804.5625
1734206919.573874,70000,-13048.4208984375
1734206972.694586,80000,-12414.13671875
1734207026.255483,90000,-12109.1201171875
1734207077.4050171,100000,-11779.7041015625
1734207131.662231,110000,-11707.8330078125
1734207185.301024,120000,-11709.87890625
1734207238.912718,130000,-11310.861328125
1734207291.371694,140000,-11247.4736328125
1734207344.872419,150000,-10963.853515625
1734207396.348617,160000,-10592.9091796875
1734207447.9194932,170000,-10460.0634765625
1734207499.197866,180000,-10408.51953125
1734207550.705292,190000,-10901.1728515625
1734207605.14413,200000,-11080.126953125
1734207658.859408,210000,-10939.6552734375
1734207710.3336582,220000,-10632.951171875
1734207761.6611168,230000,-10559.7138671875
1734207814.1553888,240000,-10330.681640625
1734207865.923093,250000,-10115.34765625
1734207917.567667,260000,-9945.0419921875
1734207969.647711,270000,-9793.986328125
1734208020.6740701,280000,-9672.857421875
1734208074.613373,290000,-9577.9375
1734208127.559826,300000,-9633.083984375
1734208177.830416,310000,-9476.51171875
1734208228.060545,320000,-9424.61328125
1734208278.7965481,330000,-9271.681640625
1734208330.337554,340000,-9158.04296875
1734208383.535594,350000,-9068.8349609375
1734208435.544384,360000,-8958.0
1734208486.8821352,370000,-8723.4697265625
1734208539.009035,380000,-8490.25
1734208591.4113631,390000,-8162.77978515625
1734208643.3379729,400000,-7947.31982421875
1734208694.093472,410000,-7849.169921875
1734208745.649816,420000,-7662.91015625
1734208798.0064168,430000,-7585.89013671875
1734208850.201144,440000,-7531.27978515625
1734208901.342884,450000,-7416.4501953125
1734208951.421983,460000,-7357.6298828125
1734209002.820425,470000,-7199.81005859375
1734209055.102175,480000,-7043.4501953125
1734209108.70302,490000,-7050.56005859375
1734209161.904107,500000,-6958.7998046875
1734209215.701565,510000,-6981.39013671875
1734209271.205389,520000,-7020.85986328125
1734209325.869782,530000,-6933.3701171875
1734209379.7314072,540000,-6827.580078125
1734209432.0665758,550000,-6480.22021484375
1734209485.783208,560000,-6199.52001953125
1734209539.118755,570000,-6106.2099609375
1734209590.711524,580000,-6107.56005859375
1734209641.054372,590000,-6067.6201171875
1734209691.733373,600000,-6118.85009765625
1734209743.364099,610000,-6118.990234375
1734209793.47844,620000,-6100.33984375
1734209846.089503,630000,-6136.22998046875
1734209903.208755,640000,-6284.2900390625
1734209967.6683788,650000,-7043.419921875
1734210026.490047,660000,-7646.83984375
1734210081.412927,670000,-8130.43994140625
1734210132.377708,680000,-8118.740234375
1734210183.05307,690000,-8123.47998046875
1734210233.449903,700000,-8082.7099609375
1734210284.6297758,710000,-8109.83984375
1734210336.502134,720000,-8154.419921875
1734210386.265623,730000,-8142.6201171875
1734210437.6477509,740000,-8211.33984375
1734210488.898709,750000,-8283.4296875
1734210540.91165,760000,-8340.509765625
1734210592.748544,770000,-8370.5703125
1734210643.871155,780000,-8466.5302734375
1734210695.0834272,790000,-8459.0400390625
1734210748.117923,800000,-8471.5498046875
1734210799.225121,810000,-8446.6201171875
1734210849.5833411,820000,-8446.2001953125
1734210901.312914,830000,-8432.16015625
1734210953.0789042,840000,-8535.099609375
1734211005.2950559,850000,-8544.4501953125
1734211055.9158149,860000,-8557.3095703125
1734211108.0672,870000,-8448.5595703125
1734211159.53687,880000,-8443.0703125
1734211211.59954,890000,-8541.259765625
1734211263.067366,900000,-8517.26953125
1734211314.004221,910000,-8519.7099609375
1734211366.05894,920000,-8540.4501953125
1734211417.22732,930000,-8601.900390625
1734211469.994189,940000,-8697.599609375
1734211521.16467,950000,-8714.08984375
1734211573.148304,960000,-8713.6396484375
1734211624.612312,970000,-8732.8603515625
1734211675.433503,980000,-8694.830078125
1734211726.949087,990000,-8657.76953125
1734211779.061245,1000000,-8524.25
