Wall time,Step,Value
1734290770.6456692,10000,-4738.5
1734290823.213506,20000,-5733.60009765625
1734290876.572819,30000,-5275.0
1734290932.007385,40000,-5568.54541015625
1734290984.4913652,50000,-5594.615234375
1734291036.1861389,60000,-5367.1875
1734291089.531616,70000,-5285.5263671875
1734291143.579434,80000,-5388.318359375
1734291199.1241019,90000,-5513.68017578125
1734291252.285707,100000,-5531.37060546875
1734291305.319496,110000,-5598.0
1734291357.284898,120000,-5474.9697265625
1734291409.468134,130000,-5428.02783203125
1734291461.2937322,140000,-5380.0263671875
1734291514.6500711,150000,-5332.70751953125
1734291567.463527,160000,-5249.29541015625
1734291620.5723362,170000,-5244.65966796875
1734291673.203358,180000,-5147.580078125
1734291725.40457,190000,-5203.4423828125
1734291777.654403,200000,-5153.69091796875
1734291829.871191,210000,-5136.396484375
1734291883.612128,220000,-5469.19677734375
1734291935.9705338,230000,-5443.15869140625
1734291992.427805,240000,-5416.77294921875
1734292047.223681,250000,-5398.5361328125
1734292100.5407019,260000,-5404.888671875
1734292154.8643892,270000,-5371.83984375
1734292207.55568,280000,-5345.818359375
1734292261.689569,290000,-5283.0751953125
1734292315.40134,300000,-5251.56640625
1734292369.885751,310000,-5224.16259765625
1734292424.308575,320000,-5191.9091796875
1734292478.5180538,330000,-5160.12109375
1734292533.4266,340000,-5155.46826171875
1734292587.6224608,350000,-5136.0
1734292643.066646,360000,-5110.33984375
1734292697.034181,370000,-5092.81005859375
1734292751.3862872,380000,-5027.1298828125
1734292805.188983,390000,-5000.4599609375
1734292860.250504,400000,-4978.85986328125
1734292913.097733,410000,-4962.52001953125
1734292967.7347488,420000,-5009.7001953125
1734293022.492718,430000,-5036.52978515625
1734293076.107307,440000,-4976.419921875
1734293132.553056,450000,-4937.4501953125
1734293184.7414699,460000,-4920.080078125
1734293237.4202082,470000,-4866.2900390625
1734293291.506442,480000,-4889.5498046875
1734293344.486781,490000,-4862.4599609375
1734293397.0014532,500000,-4843.740234375
1734293450.464571,510000,-4872.830078125
1734293503.184191,520000,-4899.35009765625
1734293556.514697,530000,-4879.10009765625
1734293608.77284,540000,-4905.64013671875
1734293660.5830688,550000,-4899.58984375
1734293713.119719,560000,-4910.83984375
1734293765.405458,570000,-4908.39013671875
1734293817.933511,580000,-4690.33984375
1734293869.746238,590000,-4737.93017578125
1734293922.048149,600000,-4776.39013671875
1734293974.930961,610000,-4760.60986328125
1734294028.514474,620000,-4733.18017578125
1734294080.6787221,630000,-4708.35009765625
1734294132.830977,640000,-4717.10986328125
1734294184.396099,650000,-4712.6201171875
1734294237.426879,660000,-4728.009765625
1734294289.9695601,670000,-4725.85986328125
1734294342.320252,680000,-4725.509765625
1734294398.16577,690000,-4718.68994140625
1734294453.5626261,700000,-4733.7001953125
1734294509.513452,710000,-4816.06005859375
1734294562.529155,720000,-4847.85009765625
1734294616.573864,730000,-4860.77001953125
1734294671.511214,740000,-4878.7001953125
1734294727.145408,750000,-4943.4501953125
1734294781.398676,760000,-4910.419921875
1734294835.320704,770000,-4912.8701171875
1734294888.2695858,780000,-4884.93017578125
1734294939.987529,790000,-4853.009765625
1734294994.6669152,800000,-5010.10986328125
1734295047.445864,810000,-5000.02978515625
1734295099.440437,820000,-5021.02978515625
1734295152.212448,830000,-5014.77978515625
1734295204.858488,840000,-5018.759765625
1734295258.123749,850000,-5131.759765625
1734295309.721977,860000,-5132.93994140625
1734295363.110522,870000,-5112.990234375
1734295417.0321121,880000,-5110.6201171875
1734295469.5034099,890000,-5080.990234375
1734295522.662087,900000,-5103.89990234375
1734295575.353963,910000,-5064.85986328125
1734295629.637043,920000,-5105.009765625
1734295682.0053,930000,-5078.27978515625
1734295736.527284,940000,-5109.85986328125
1734295789.210724,950000,-5071.43017578125
1734295841.575884,960000,-5015.18017578125
1734295894.084791,970000,-5005.43017578125
1734295946.6660428,980000,-5018.60009765625
1734295999.202061,990000,-5076.18017578125
1734296051.600758,1000000,-5291.580078125
