Wall time,Step,Value
1734294309.5097263,10000,-1905451.0
1734294398.0748982,20000,-766779.8125
1734294486.1361864,30000,-481073.625
1734294574.416883,40000,-351538.71875
1734294660.2525895,50000,-298517.46875
1734294748.3114185,60000,-243838.375
1734294836.1445084,70000,-206448.265625
1734294923.4723816,80000,-178893.640625
1734295011.9012387,90000,-158143.515625
1734295098.8210485,100000,-146788.296875
1734295185.8079247,110000,-132669.09375
1734295271.9843307,120000,-121053.7890625
1734295360.5460951,130000,-111560.0
1734295446.2628956,140000,-105955.1015625
1734295533.5577655,150000,-98561.7578125
1734295621.2275584,160000,-92707.75
1734295711.368065,170000,-88355.421875
1734295801.3171072,180000,-83413.3984375
1734295890.3780518,190000,-80400.25
1734295978.1149797,200000,-76370.0703125
1734296063.7063615,210000,-72669.2734375
1734296152.9863703,220000,-69348.0625
1734296239.5669656,230000,-67308.125
1734296325.1665106,240000,-64427.7265625
1734296411.3076093,250000,-61819.3046875
1734296498.6413372,260000,-59466.29296875
1734296590.2398033,270000,-57324.1328125
1734296677.5466225,280000,-55976.67578125
1734296765.8272786,290000,-54081.73828125
1734296852.8272295,300000,-52298.265625
1734296937.594785,310000,-50617.7109375
1734297026.5849724,320000,-49700.1484375
1734297123.083901,330000,-58370.328125
1734297212.6839786,340000,-57545.4375
1734297300.5256467,350000,-55998.1640625
1734297386.2073038,360000,-54482.87890625
1734297473.2908113,370000,-16548.58984375
1734297557.9196217,380000,-16497.55078125
1734297645.8396184,390000,-16538.759765625
1734297732.6980863,400000,-16499.669921875
1734297824.33544,410000,-16485.759765625
1734297912.5354996,420000,-16470.490234375
1734298000.1549742,430000,-16442.01953125
1734298085.6818717,440000,-16481.0703125
1734298170.2311904,450000,-16479.310546875
1734298258.9343739,460000,-16494.19921875
1734298346.289288,470000,-16820.5
1734298432.1465306,480000,-16823.5390625
1734298521.1772964,490000,-16742.140625
1734298608.7286723,500000,-16747.0390625
1734298696.6529222,510000,-16832.0390625
1734298783.6615646,520000,-16612.849609375
1734298870.0038607,530000,-16014.0400390625
1734298957.2602785,540000,-15988.8701171875
1734299043.3319283,550000,-15988.4599609375
1734299128.8339462,560000,-15907.919921875
1734299216.2002025,570000,-15941.9599609375
1734299302.5644743,580000,-15912.73046875
1734299388.6863933,590000,-15910.0595703125
1734299477.4878614,600000,-16060.16015625
1734299564.708865,610000,-16085.2099609375
1734299652.8552213,620000,-16076.900390625
1734299738.2537286,630000,-16094.76953125
1734299822.163462,640000,-16115.08984375
1734299907.1384528,650000,-16102.9296875
1734299994.3601353,660000,-16118.7900390625
1734300079.6204262,670000,-16123.8701171875
1734300166.5775502,680000,-16008.7001953125
1734300254.7946498,690000,-6783.35986328125
1734300343.8074434,700000,-5957.97021484375
1734300433.1582992,710000,-5882.81005859375
1734300523.0011125,720000,-5902.31005859375
1734300610.6608071,730000,-5839.830078125
1734300697.783854,740000,-5800.6201171875
1734300783.5774035,750000,-5743.43994140625
1734300871.786963,760000,-5741.02001953125
1734300956.3303304,770000,-5758.27001953125
1734301042.4825742,780000,-5760.1298828125
1734301128.9552035,790000,-5740.7900390625
1734301216.7887435,800000,-5718.330078125
1734301302.8471036,810000,-5692.31982421875
1734301387.2659378,820000,-5739.7099609375
1734301474.7408695,830000,-5427.5498046875
1734301561.554761,840000,-5457.35986328125
1734301647.5316472,850000,-5452.60986328125
1734301734.0215337,860000,-5466.52978515625
1734301820.8175724,870000,-5410.56005859375
1734301905.4352822,880000,-5384.43017578125
1734301992.9108584,890000,-5408.06005859375
1734302079.071513,900000,-5400.669921875
1734302163.9650433,910000,-5445.52978515625
1734302251.230338,920000,-5476.169921875
1734302340.6460233,930000,-5449.39990234375
1734302430.2764416,940000,-5478.52978515625
1734302518.234986,950000,-5517.85009765625
1734302604.091634,960000,-5373.64013671875
1734302691.0792215,970000,-5354.85986328125
1734302779.0198069,980000,-5511.35009765625
1734302868.35626,990000,-5830.68017578125
1734302955.9002733,1000000,-5795.5400390625
