Wall time,Step,Value
1734230625.150038,10000,-7132331.5
1734230719.9900212,20000,-3630692.5
1734230805.661728,30000,-2375852.25
1734230910.069343,40000,-2083733.375
1734231002.5265229,50000,-1807366.25
1734231083.733043,60000,-1493488.0
1734231145.043838,70000,-1265254.875
1734231202.887458,80000,-1095285.0
1734231259.6198962,90000,-965312.1875
1734231313.1423712,100000,-894318.875
1734231367.6415849,110000,-805766.375
1734231421.7619221,120000,-733269.75
1734231476.179328,130000,-672795.5
1734231528.9652638,140000,-637736.5625
1734231583.400533,150000,-591689.4375
1734231637.144563,160000,-551792.75
1734231689.72189,170000,-517141.9375
1734231741.8794591,180000,-486536.6875
1734231792.401255,190000,-468204.3125
1734231845.514912,200000,-443691.96875
1734231898.607418,210000,-421046.4375
1734231952.21706,220000,-400628.21875
1734232005.429018,230000,-388116.71875
1734232058.526489,240000,-370788.59375
1734232112.8012412,250000,-354991.78125
1734232166.193326,260000,-340493.625
1734232218.858161,270000,-327129.4375
1734232269.884793,280000,-318741.5
1734232322.0107388,290000,-307050.96875
1734232374.8459551,300000,-296285.15625
1734232428.4609249,310000,-286313.46875
1734232479.9624739,320000,-280001.5
1734232531.481766,330000,-271046.84375
1734232583.3515909,340000,-262607.5
1734232634.7713869,350000,-254685.34375
1734232686.436744,360000,-247161.25
1734232737.9136682,370000,-104726.4921875
1734232789.949253,380000,-65986.5625
1734232841.862643,390000,-57700.62109375
1734232894.387093,400000,-18749.01953125
1734232945.1810272,410000,-13124.48046875
1734232997.770904,420000,-9350.990234375
1734233049.449383,430000,-8108.08984375
1734233101.276483,440000,-7697.7099609375
1734233152.8043451,450000,-7519.6298828125
1734233204.331462,460000,-7492.81005859375
1734233256.548886,470000,-7420.97998046875
1734233308.107598,480000,-7313.3798828125
1734233362.153876,490000,-7257.14990234375
1734233414.6002262,500000,-7252.35986328125
1734233467.261139,510000,-7160.7900390625
1734233520.6344168,520000,-7119.39990234375
1734233572.423193,530000,-7059.60009765625
1734233623.42726,540000,-7006.93017578125
1734233674.1659892,550000,-6967.759765625
1734233725.236107,560000,-6543.3798828125
1734233777.708579,570000,-6499.89013671875
1734233832.439256,580000,-6545.3798828125
1734233884.6055622,590000,-6539.4501953125
1734233937.866464,600000,-6544.0
1734233991.729277,610000,-6535.02978515625
1734234043.5389,620000,-6456.97021484375
1734234096.369248,630000,-6496.25
1734234147.424792,640000,-6529.47021484375
1734234199.572559,650000,-6486.77001953125
1734234252.626108,660000,-6418.0400390625
1734234305.4908211,670000,-6304.60986328125
1734234357.429711,680000,-6230.60986328125
1734234410.50321,690000,-6348.89013671875
1734234463.171115,700000,-6297.77978515625
1734234515.057578,710000,-6284.89013671875
1734234567.1981928,720000,-6356.7900390625
1734234619.114008,730000,-6289.1201171875
1734234670.9754188,740000,-6311.080078125
1734234723.252949,750000,-6232.0498046875
1734234777.0879512,760000,-6222.77001953125
1734234829.144618,770000,-6213.06005859375
1734234880.700623,780000,-6144.8798828125
1734234933.8384562,790000,-6278.14013671875
1734234985.858263,800000,-6365.10009765625
1734235036.946641,810000,-6329.35009765625
1734235087.8659441,820000,-6361.669921875
1734235140.468401,830000,-6387.72021484375
1734235192.1123252,840000,-6391.64990234375
1734235244.9972239,850000,-6414.52978515625
1734235296.223973,860000,-6428.43994140625
1734235348.221738,870000,-6566.509765625
1734235400.6460218,880000,-6635.6298828125
1734235452.158907,890000,-6595.3798828125
1734235504.216838,900000,-6629.6298828125
1734235555.791271,910000,-6569.669921875
1734235606.8585851,920000,-6571.669921875
1734235659.4955258,930000,-6596.10009765625
1734235714.128173,940000,-6604.18017578125
1734235766.4507961,950000,-6590.89990234375
1734235822.6661918,960000,-6619.080078125
1734235876.526772,970000,-6667.60009765625
1734235932.14567,980000,-6817.2001953125
1734235985.7224581,990000,-6829.580078125
1734236037.577274,1000000,-6839.259765625
